start time,end time,texto,asset,prompt,caminho
"00:15:57,970","00:16:07,910","Muita gente descobre, ao fazer isso pela primeira vez, que está carregando entre 12 e 20 itens em paralelo, a maioria dos quais não exige nenhuma ação imediata.",imagem,"Photorealistic still image of a cluttered digital workspace with icons representing 12 to 20 tasks floating around, each marked with a 'no action needed' label, set against a dark, minimalist home office background.",
"00:16:08,555","00:16:15,295",O ato de colocar no papel interrompe o loop de processamento em background e libera a banda para recuperação real durante o sono.,avatar,,
"00:16:15,855","00:16:22,955","Isso não é exercício de autoconhecimento vago, é gerenciamento de recurso cognitivo com efeito mensurável na qualidade do foco no dia seguinte.",avatar,,
"00:16:23,495","00:16:27,295",O que você faz com o que encontra nessa lista é a próxima camada do problema.,avatar,,
"00:16:28,737","00:16:31,297",Porque alguns desses processos não são tarefas.,avatar,,
"00:16:31,837","00:16:35,797",São padrões de pensamento que você herdou de versões anteriores de si mesmo.,avatar,,
"00:16:36,297","00:16:39,477",Você não é o mesmo desenvolvedor que entrou no mercado há 15 anos.,avatar,,
"00:16:40,097","00:16:45,857","O contexto mudou, as responsabilidades mudaram, a complexidade dos problemas que você enfrenta mudou.",avatar,,
"00:16:46,658","00:17:01,598","Mas parte do código que roda a sua resposta ao estresse, a forma como você define valor pessoal, o que te faz dizer sim quando deveria dizer não, esse código ainda está na versão que foi escrita quando você tinha 25 anos e precisava provar que merecia estar na sala.",imagem,"Photorealistic still image of a glowing, complex code structure representing stress response and personal value definition, with an overlay showing an older version number, metaphorically linked to a person's growth from age 25.",
"00:17:02,338","00:17:04,298",Essa versão tinha lógica no contexto dela.,avatar,,
"00:17:04,858","00:17:07,018",Era o código certo para o problema daquele momento.,avatar,,
"00:17:07,758","00:17:09,798",O problema é que ele nunca foi atualizado.,avatar,,
"00:17:10,358","00:17:19,477","Ele continua rodando em produção, consumindo recurso, gerando comportamento que não faz sentido para quem você é hoje e para o que você está tentando construir agora.",avatar,,
"00:17:20,057","00:17:25,277","A atualização não é uma questão de terapia versus produtividade, é uma questão de compatibilidade.",avatar,,
"00:17:25,837","00:17:32,657",O profissional que você se tornou precisa de um sistema operacional que suporte o peso e a sofisticação do trabalho que ele faz.,avatar,,
"00:17:33,419","00:17:35,859",E esse sistema não vem pré-instalado.,avatar,,
"00:17:36,419","00:17:41,379","Ele é escrito deliberadamente, revisado com frequência e testado em condições reais.",avatar,,
"00:17:42,059","00:17:43,379",O ponto de entrada é simples.,avatar,,
"00:17:43,739","00:17:49,559","Identifica uma crença sobre o que significa ser bom no que você faz, que te custa mais do que entrega.",avatar,,
"00:17:49,919","00:17:50,339",Uma só.,texto,Minimal Sage,D:\onedrive\Downloads\DevZen\DevZen V8\Textos V8\renders_A_Falha_Critica_do_Heroi_Por_que_carregar_o_time_e_um_pessimo_design_pattern_pipeline_assets\linha_0190_texto.mp4
"00:17:50,799","00:17:52,899",Não precisa de uma revisão completa agora.,avatar,,
"00:17:53,579","00:18:00,179","Precisa de um primeiro commit consciente, uma regra de comportamento nova que substitui uma antiga com um critério claro de quando aplicar.",avatar,,
"00:18:00,875","00:18:08,915",Quem está nesse processo junto com outros que passaram pelo mesmo diagnóstico sabe que a parte mais difícil não é identificar o que precisa mudar.,imagem,"Photorealistic still image of a group therapy session with diverse professionals seated in a modern room, focused on a shared challenge, expressing mutual understanding and support through attentive body language and subtle facial expressions.",
"00:18:09,555","00:18:13,835",É sustentar a mudança quando o ambiente externo continua puxando para o padrão antigo.,avatar,,
"00:18:14,375","00:18:16,615",É por isso que esse trabalho não é feito em isolamento.,avatar,,
"00:18:17,115","00:18:21,595","É feito com contexto compartilhado, linguagem comum e revisão contínua.",avatar,,
"00:18:22,315","00:18:25,795","Se você chegou até aqui com honestidade, você já tem o diagnóstico.",avatar,,
"00:18:26,508","00:18:28,408",O próximo passo é o primeiro comitê.,avatar,,
"00:18:28,968","00:18:31,068","Não a reescrita completa, o comitê.",avatar,,
"00:18:31,568","00:18:40,208","Se inscreve no canal, ativa o sino e acompanha o próximo episódio, porque o que vem depois disso é onde a arquitetura começa a aparecer de verdade.",avatar,,
